Medal
2
1
0
17
0
0
0
29
274
16
0
0
1320
450
44
40
0
1
2
468
0
1
0
0
0
139
12
0
1
475
3
0
342
0
0
0
1352
0
0
0
32
989
3
22
0
0
28
0
0
4
149
0
409
1
144
597
1
0
7
2
27
1
0
489
50
53
279
13
900
1777
586
0
1
0
2068
0
1005
32
0
2165
23
255
2
1
0
0
1
7
4
0
1135
41
197
5
68
35
1
17
9
1
1637
0
157
1
913
77
106
3
0
638
1
6
2
0
35
0
0
0
0
4
9
61
8
0
0
23
16
0
8
0
110
26
0
1
0
0
14
1
2
1
0
0
4
0
0
1040
1
0
99
2
1033
0
228
0
121
3
17
15
10
0
0
0
565
41
67
9
5
0
0
653
131
1165
0
0
0
64
1
0
9
0
0
48
0
0
0
85
2
0
0
1
691
2
47
1536
0
3
2
488
1
30
4
0
0
1
49
32
13
95
0
2
2
7
199
0
2503
63
5637
34
0
15
4
0
0
5
0
0
0
390
2
22
